repo	files	nodes	edges	sccs_cyclic	dup_pairs	dup_per100f	size_mb	verdict
etlegacy/etlegacy	453	453	757	1	235	51.9	71	VIOLATION_KEPT
mjagdis-imports/sdcc-svn	5676	5679	7484	5	187	3.3	277	VIOLATION_KEPT
doldecomp/melee	2026	2026	18413	0	93	4.6	50	VIOLATION_KEPT
surge-synthesizer/shortcircuit-xt	334	334	1212	2	16	4.8	38	VIOLATION_KEPT
Telecominfraproject/wlan-ap							276	TOO_BIG
sysprog21/rv32emu	50	50	104	0	14	28.0	10	VIOLATION_KEPT
ArtifexSoftware/ghostpdl							275	TOO_BIG
bernardladenthin/BitcoinAddressFinder	8	8	0	0	0	0.0	0	CLEAN
OpenVisualCloud/Media-Transport-Library	305	305	623	0	25	8.2	18	VIOLATION_KEPT
389ds/389-ds-base	680	680	1737	0	41	6.0	33	VIOLATION_KEPT
falcosecurity/libs	260	261	347	0	12	4.6	32	VIOLATION_KEPT
davea42/libdwarf-code	210	210	1148	0	5	2.4	28	VIOLATION_KEPT
kernel-patches/bpf							2918	TOO_BIG
SynchronetBBS/sbbs							281	TOO_BIG
DMTF/libspdm	347	347	548	0	35	10.1	34	VIOLATION_KEPT
MidnightBSD/src							1439	TOO_BIG
Dasharo/coreboot							251	TOO_BIG
ghostbsd/ghostbsd-src							3162	TOO_BIG
lustre/lustre-release	731	729	2696	1	47	6.4	78	VIOLATION_KEPT
starfive-tech/linux							3047	TOO_BIG
facebook/OpenBIC							260	TOO_BIG
SUSE/kernel							4338	TOO_BIG
AFLplusplus/qemu-libafl-bridge							536	TOO_BIG
LineageOS/android_kernel_oneplus_sm8250							1893	TOO_BIG
truenas/linux							2959	TOO_BIG
wtarreau/nolibc	42	42	23	0	1	2.4	1	VIOLATION_KEPT
crdroidandroid/android_kernel_oneplus_sm8250							1895	TOO_BIG
crdroidandroid/android_kernel_xiaomi_sm6150							1631	TOO_BIG
chenhuacai/linux							2588	TOO_BIG
LineageOS/android_kernel_oneplus_sm8350							1716	TOO_BIG
LineageOS/android_kernel_xiaomi_sm6150							1320	TOO_BIG
bluez/bluetooth-next							2739	TOO_BIG
jbalcomb/ReMoM	381	388	2380	0	10	2.6	74	VIOLATION_KEPT
droidian/phosh	450	450	932	0	22	4.9	9	VIOLATION_KEPT
tiacsys/bridle	71	71	58	0	2	2.8	66	VIOLATION_KEPT
LineageOS/android_kernel_xiaomi_mt6785							1562	TOO_BIG
kutemeikito/android_kernel_xiaomi_ginkgo							1314	TOO_BIG
qemu/edk2							318	TOO_BIG
stdlib-js/ndarray							472	TOO_BIG
lock042/siril							420	TOO_BIG
flux-framework/flux-coral2	47	47	55	0	9	19.1	3	VIOLATION_KEPT
apache/axis-axis2-c-core	672	672	2645	4	28	4.2	16	VIOLATION_KEPT
LineageOS/android_kernel_xiaomi_sm6125							1249	TOO_BIG
truenas/samba							321	TOO_BIG
LineageOS/android_kernel_samsung_sm8250							1472	TOO_BIG
freebsd/drm-kmod	877	881	2251	0	63	7.2	591	VIOLATION_KEPT
LineageOS/android_kernel_google_redbull							1366	TOO_BIG
intel/gdb							491	TOO_BIG
arter97-mirror/caf_msm-5.4							2447	TOO_BIG
LineageOS/android_kernel_samsung_gta4xl							1114	TOO_BIG
virtuoso/clap	153	155	565	1	4	2.6	7	VIOLATION_KEPT
Inkypen79/kernel_xiaomi_andromeda							1282	TOO_BIG
nrfconnect/sdk-trusted-firmware-m	3255	3255	7480	8	602	18.5	146	VIOLATION_KEPT
DerpFest-Devices/kernel_xiaomi_sm6150							1317	TOO_BIG
LineageOS/android_kernel_lenovo_sm8150							1280	TOO_BIG
proxmox/mirror_qemu							435	TOO_BIG
SkrilaxCZ/l4t-kernel							3196	TOO_BIG
ArbitraryFox/kernel_xiaomi_davinci							1338	TOO_BIG
